ibge_id,uf,name,capital,lon,lat,no_accents,alternative_names,microregion,mesoregion
1100015,RO,Alta Floresta D'Oeste,,-61.9998238963,-11.9355403048,Alta Floresta D'Oeste,,Cacoal,Leste Rondoniense
1100023,RO,Ariquemes,,-63.033269278,-9.9084628666,Ariquemes,,Ariquemes,Leste Rondoniense
1200609,AC,Tarauacá,,-70.7555010629,-8.1556685918,Tarauaca,,Tarauacá,Vale do Juruá
1200708,AC,Xapuri,,-68.506294805,-10.6520719403,Xapuri,,Brasiléia,Vale do Acre
1300508,AM,Barreirinha,,-57.0677504899,-2.7981498369,Barreirinha,,Parintins,Centro Amazonense
1300607,AM,Benjamin Constant,,-70.0273484333,-4.3749890186,Benjamin Constant,,Alto Solimões,Sudoeste Amazonense
5222203,GO,Vila Boa,,-47.0573608537,-15.0348887907,Vila Boa,,Entorno de Brasília,Leste Goiano
5222302,GO,Vila Propício,,-48.8824220765,-15.4546348168,Vila Propicio,,Entorno de Brasília,Leste Goiano
5300108,DF,Brasília,true,-47.887905478,-15.7940873619,Brasilia,,Brasília,Distrito Federal
